SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,48,1,Texas,Anderson County,12,0,57735,35474,22261,24946,18089,9322,3306,263,165,325,213,54,42,564,446
50,48,3,Texas,Andrews County,12,0,18705,9568,9137,9009,8632,212,170,140,134,68,62,3,1,136,138
50,48,5,Texas,Angelina County,12,0,86715,42353,44362,34473,35753,6453,7142,333,332,446,477,38,27,610,631
50,48,7,Texas,Aransas County,12,0,23510,11633,11877,10751,11090,247,159,163,145,231,260,12,12,229,211
50,48,9,Texas,Archer County,12,0,8553,4186,4367,3980,4158,51,45,62,69,16,25,3,3,74,67
50,48,11,Texas,Armstrong County,12,0,1887,923,964,892,925,15,7,8,17,2,5,0,0,6,10
50,48,13,Texas,Atascosa County,12,0,51153,25474,25679,24248,24507,377,314,363,323,158,160,28,40,300,335
50,48,15,Texas,Austin County,12,0,30032,14931,15101,13051,13190,1350,1429,129,116,117,123,8,5,276,238
50,48,17,Texas,Bailey County,12,0,7000,3516,3484,3209,3236,87,62,122,116,41,23,2,7,55,40
50,48,19,Texas,Bandera County,12,0,23112,11472,11640,10955,11077,127,129,165,140,50,81,6,4,169,209
50,48,21,Texas,Bastrop County,12,0,88723,45112,43611,39367,38283,3408,3049,923,844,402,422,68,62,944,951
50,48,23,Texas,Baylor County,12,0,3509,1704,1805,1586,1678,53,55,22,8,4,13,1,2,38,49
50,48,25,Texas,Bee County,12,0,32565,19825,12740,16754,11935,2606,300,152,159,101,108,18,12,194,226
50,48,27,Texas,Bell County,12,0,362924,180296,182628,119922,118669,43826,44889,2059,1864,4680,6794,1519,1559,8290,8853
50,48,29,Texas,Bexar County,12,0,2003554,989790,1013764,834238,853880,86526,85876,12319,12131,30417,35029,2227,2336,24063,24512
50,48,31,Texas,Blanco County,12,0,11931,5950,5981,5592,5690,129,54,91,57,30,83,3,7,105,90
50,48,33,Texas,Borden County,12,0,654,337,317,320,301,6,0,0,5,0,1,0,0,11,10
50,48,35,Texas,Bosque County,12,0,18685,9237,9448,8702,8981,232,174,97,71,48,72,5,9,153,141
50,48,37,Texas,Bowie County,12,0,93245,46673,46572,32678,32355,11716,11978,516,478,512,632,49,33,1202,1096
50,48,39,Texas,Brazoria County,12,0,374264,189053,185211,142252,138078,28850,27762,1627,1530,12266,13733,190,173,3868,3935
50,48,41,Texas,Brazos County,12,0,229211,115425,113786,91826,90693,12392,13220,802,734,7804,6594,153,137,2448,2408
50,48,43,Texas,Brewster County,12,0,9203,4689,4514,4329,4167,93,60,90,80,74,86,6,7,97,114
50,48,45,Texas,Briscoe County,12,0,1546,769,777,718,720,24,27,4,7,3,1,0,0,20,22
50,48,47,Texas,Brooks County,12,0,7093,3616,3477,3484,3359,42,36,25,27,46,33,1,2,18,20
