,index,County,Population_Estimate,Population_Male,Population_Female,MEDIAN_AGE_TOT,Age017_Per_Pop_Est,Age1844_Per_Pop_Est,Age4554_Per_Pop_Est,Age_5564_Per_Pop_Est,Age_65_plus_Per_Pop_Est,Pop_Female_Ratio,Pop_Male_Ratio,State,Confirmed,Deaths,Active,Incidence_Rate,Lethality_Rate,FIPS,Public_Health_Region,Health_Service_Region,Metro_Area_Metro,Metro_Area_Non-Metro,NCHS_Urban_Rural_Classification_2013_Large Central Metro,NCHS_Urban_Rural_Classification_2013_Large Fringe Metro,NCHS_Urban_Rural_Classification_2013_Medium Metro,NCHS_Urban_Rural_Classification_2013_Micropolitan,NCHS_Urban_Rural_Classification_2013_Non-core,NCHS_Urban_Rural_Classification_2013_Small Metro,White,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_Or_More_Races,White_Pop_Ratio,Black_Pop_Ratio,American_Indian_Alaskan_Native_Pop_Ratio,Asian_Pop_Ratio,Native_Hawaiian_Other_Pacific_Islander_Pop_Ratio,Two_Or_More_Races_Pop_Ratio,Social_Distancing_Score_B,Social_Distancing_Score_B-,Social_Distancing_Score_C,Social_Distancing_Score_C-,Social_Distancing_Score_D,Social_Distancing_Score_D+,Social_Distancing_Score_D-,Social_Distancing_Score_F,Per_Capita_Income,Median_Household_Income,Percent_Population_Poverty,Percentage_High_School_Graduate_Or_Higher,Percentage_Bachelors_Degree_Or_Higher,Unemployment_Rate_Percentage,Land_Area,Percent_Urban,Percent_Rural,Trauma_Area_Letter,Service_Area_RAC,Trauma_Service_Area_Population_Estimate,Total_Staffed_Hospital_Beds,Available_Hospital_Beds,Available_ICU_Beds,Available_Ventilators,Total_Staffed_Hospital_Beds_Ratio,Available_Hospital_Beds_Ratio,Available_ICU_Beds_Ratio,Available_Ventilators_Ratio,Medicaid_Caseload,Nursing_Homes_With_Cases_In_HSR,Assisted_Living_Facilities_With_Cases_In_HSR,# Uninsured,Medicaid_Caseload_Ratio,Confirmed_Per_Capita,Deaths_Per_Capita,Population_Density,Log_Lethality
0,0,Anderson,57735,0.014499541676237357,0.008773682409135588,0.506276150627615,0.23495672420883273,0.5464507443014769,0.801089982776275,0.34440580503115403,0.26871889067966126,0.08504620546254404,0.9149537945374555,Texas,1082.0,2.0,0.03119434880683842,0.4216600278689139,0.012322858903265559,48001.0,4.0,4/5N,0,1,0,0,0,1,0,0,0.012263468125758778,0.013382114097669236,0.00792983299291121,0.0015171167832491777,0.016666666666666666,0.010494946877429386,0.45133157284300585,0.6369285330696458,0.10849999218500939,0.033315551637378565,0.10003165724590693,0.3283280270638773,0,0,0,0,0,0,1,0,0.08076299941919118,0.21389288083130664,0.4916387959866221,0.7028824833702885,0.10489510489510492,0.16494845360824742,0.15444308688042796,0.33168865169670725,0.6683113483032928,G,Piney_Woods_RAC_G,0.0998850343827316,0.11366711772665763,554,89,231,0.0020999142070449333,0.0005719530337772336,9.188415163569276e-05,0.00023848583177353964,0.010465073407416692,0.19662921348314605,0.030303030303030304,0.007042044109143974,0.28753401974038656,0.01874079847579458,3.464103230276262e-05,0.01751340007948312,-4.3962992939606
1,1,Andrews,18705,0.0034185007102628165,0.003241815585330858,0.17573221757322166,0.8889239832506143,0.46406321621674407,0.3141247894154875,0.2120273381179405,0.016288269912269615,0.7547673538938651,0.2452326461061345,Texas,103.0,1.0,0.0021666864537575685,0.10401667304114648,0.06472491909385113,48003.0,9.0,9/10,0,1,0,0,0,1,0,0,0.004511532507669056,0.0003656431492929482,0.004846009051223517,0.00033585028026126835,0.0006944444444444445,0.0025481558262071343,0.9019273983458687,0.048566145716246664,0.3511118603772848,0.021862294034663225,0.012864937474588872,0.2640734967980557,0,0,0,0,0,1,0,0,0.24144325905093794,0.7524872871987618,0.18729096989966557,0.5609756097560976,0.0769230769230769,0.11340206185567012,0.22677739986130835,0.84080153056087,0.15919846943913,J,Texas_J_RAC_J,0.04395590069289472,0.06124919877501603,508,26,212,0.0024642325567267092,0.0009644299990887276,4.9360590504541174e-05,0.000402478661037028,0.002520407335579922,0.0,0.030303030303030304,0.0029945758418458658,0.2062296455022709,0.005506549051055867,5.346164127238706e-05,0.003637512171010051,-2.7376090033437546
2,2,Angelina,86715,0.017441967400198554,0.018089423697836317,0.42677824267782416,0.5845642206525318,0.3037514327706715,0.48764754616628103,0.4159532922009941,0.348160074569002,0.9051346234517945,0.09486537654820504,Texas,541.0,9.0,0.014929360085480231,0.1215925584855059,0.11090573012939002,48005.0,5.0,4/5N,0,1,0,0,0,1,0,0,0.020563967511104828,0.01440995399698982,0.012675717890183827,0.0026317922823921804,0.011284722222222222,0.012989116351386368,0.5982269114297802,0.45313523805679135,0.11707132596297093,0.03972603230023475,0.045094598988185484,0.25645752224930074,0,0,0,0,0,0,0,1,0.12819572239374766,0.22334457218660175,0.42809364548494977,0.6962305986696233,0.19580419580419575,0.31958762886597936,0.11072218736584881,0.5731547678984997,0.4268452321015003,H,Deep_East_Texas_RAC_H,0.011732492488250614,0.0101132397977352,234,8,97,0.0021311698285143175,0.0008598167928833626,2.9395445910542308e-05,0.0003564197816653255,0.021201507230132803,0.19662921348314605,0.030303030303030304,0.016225116330295438,0.44734822134646857,0.006238828345730266,0.00010378827192527245,0.035528378828244736,-2.1990747166243807
3,3,Aransas,23510,0.004301784489879022,0.0043967466351041715,0.9999999999999998,0.16495936653672272,0.017964095484491738,0.3774364466185727,0.8253192399404135,0.9434177807503816,0.8635181394180482,0.13648186058195133,Texas,35.0,0.0,0.00017808381811706053,0.007582485273951594,0.0,48007.0,11.0,11,1,0,0,0,1,0,0,0,0.005793651496248123,0.0003911531364529213,0.005526853298089631,0.0013810395145226293,0.004166666666666667,0.004340502720912153,0.8697774775839304,0.03921085188375096,0.29921553903963144,0.08924798016229211,0.061413523299579297,0.3559183910766138,0,0,0,0,0,0,0,1,0.22491568082006136,0.22692350210037582,0.49498327759197314,0.7694013303769403,0.3006993006993006,0.4948453608247423,0.020622131228742197,0.7324539321317087,0.2675460678682912,U,Coastal_Bend_RAC_U,0.05713979770962366,0.06751655864966882,321,12,146,0.0021968720726204117,0.0005087993761263724,1.9020537425284953e-05,0.00023141653867430026,0.004272451756100079,0.07303370786516855,0.0,0.0036465761722514383,0.31743713879950963,0.0014887282007656317,0.0,0.030412764406845483,0.0
4,6,Atascosa,51153,0.010222138385117716,0.010214395667575437,0.35146443514644354,0.6800415900663238,0.35133744658724864,0.41467199814727196,0.333638259086557,0.2624554837762114,0.8427869067278557,0.1572130932721434,Texas,135.0,2.0,0.003086786180695714,0.03519425955013375,0.09876543209876544,48013.0,8.0,8,1,0,0,1,0,0,0,0,0.014009592081633127,0.0006940842339776022,0.013096239336777603,0.0008801593551674619,0.011805555555555555,0.0064459704586680485,0.9247256289687071,0.028052642123429512,0.3096083391168458,0.01831585767406286,0.07997296625529572,0.21360560321481034,0,0,0,0,1,0,0,0,0.10540152233057198,0.27780234357727174,0.35451505016722407,0.5942350332594235,0.16317016317016317,0.22680412371134026,0.18034871049763895,0.39562984593696504,0.604370154063035,P,Southwest_Texas_RAC_P,0.3501413749270153,0.3177124136457517,1008,125,496,0.0016630502085686974,0.00034218301903189366,4.24334100982011e-05,0.00016837577126966195,0.013460361469770596,0.29213483146067415,0.2222222222222222,0.007882375616068724,0.5055198223483538,0.0026391413993314176,3.909839110120619e-05,0.013407976406521166,-2.315007612992603
5,7,Austin,30032,0.005712472095290279,0.0057556874031586104,0.5857740585774056,0.4976855398643262,0.19274670847182807,0.43928194386130737,0.6028123547020019,0.49991717331838204,0.8481659294087005,0.1518340705912986,Texas,81.0,0.0,0.0015433930903478573,0.0365859132355178,0.0,48015.0,6.0,6/5S,1,0,0,1,0,0,0,0,0.007136823769997622,0.002913453116895264,0.004265288958308302,0.0006543289943021262,0.0022569444444444447,0.005139500734214391,0.7438909482601206,0.26252435478397446,0.13347382875140618,0.026898611622886145,0.026041410170887746,0.3197770197213029,0,0,0,0,0,0,1,0,0.24848429268690336,0.4069754587663056,0.17056856187290967,0.7516629711751666,0.3193473193473193,0.2371134020618557,0.08574117491661988,0.3389386768704058,0.6610613231295942,Q,Southeast_Texas_Trauma_RAC_Q,0.8238755348787052,0.9346912613061747,2388,194,1220,0.0020276330411789513,0.00035702608039635275,2.9004631321981758e-05,0.00018240025882895744,0.004371262342105845,0.6910112359550562,1.0,0.004532063107464413,0.21174323083547653,0.0026971230687266915,0.0,0.014901740799502234,0.0
6,8,Bailey,7000,0.0008298162384772101,0.0008590326567292016,0.2635983263598325,0.8751776675041624,0.2924854622918268,0.2196269287108117,0.2728944097444608,0.2591929458781346,0.8148706982541349,0.18512930174586506,Texas,102.0,1.0,0.002137005817404725,0.32158841810575617,0.065359477124183,48017.0,1.0,1,0,1,0,0,0,0,1,0,0.001093769603828285,0.00011798369061487572,0.004125115142777044,0.0001447630518367536,0.0015625,0.0006154444156517233,0.850875118915585,0.05112776931775758,0.9999999999999998,0.03246647691302727,0.07734813925570228,0.23974997342123613,0,0,1,0,0,0,0,0,0.16498028306789353,0.201207716117621,0.35785953177257523,0.4235033259423502,0.07925407925407923,0.2371134020618557,0.11554337417032658,0.717450407813916,0.28254959218608394,B,B_RAC_B,0.04229071555496319,0.06117797877644042,382,36,140,0.0025254098679855135,0.0007437984345184781,7.009618754624401e-05,0.00027259628490206006,0.0013612264310943639,0.02247191011235955,0.09090909090909091,0.0009427572345053554,0.46500892144780515,0.014571428571428572,0.00014285714285714287,0.0023119291701112527,-2.72785282839839
7,10,Bastrop,88723,0.018622102968218465,0.017772871428354653,0.4560669456066946,0.5808339863123678,0.279519998794339,0.5264772621285165,0.5658501110110026,0.29937957281190164,0.7746953900778273,0.22530460992217272,Texas,468.0,6.0,0.012851715540781196,0.09845538196508183,0.08547008547008546,48021.0,7.0,7,1,0,0,1,0,0,0,0,0.022830265456631256,0.006822858649161146,0.03474308142096199,0.0023451614397554084,0.022569444444444444,0.02005053122570614,0.7471448297469525,0.20390338358821644,0.5277374439314886,0.03316513267559794,0.08814801463567518,0.41560972297771737,0,0,0,0,0,0,0,1,0.10439274906000678,0.4337967057262878,0.25083612040133785,0.7117516629711751,0.25874125874125864,0.154639175257732,0.12564805336327314,0.36401168059611316,0.6359883194038868,O,Capital _Area_Trauma_RAC_O,0.2779464353633885,0.20988533580229327,753,70,374,0.001425018954646509,0.00031699830807941547,2.9468634217209935e-05,0.00015744670281766452,0.019102888366159587,0.15168539325842695,0.26262626262626265,0.01596960268729866,0.3702499587807515,0.005274844177947094,6.762620740957813e-05,0.03261137223973984,-2.4595888418037104
8,12,Bee,32565,0.007805833265964231,0.0047605077650145254,0.33054393305439334,0.3403038171325369,0.692972211059191,0.5169822403179751,0.17779500416316085,0.15050682569642326,0.12178760527504373,0.8782123947249558,Texas,69.0,0.0,0.0011872254541137363,0.02270616773225127,0.0,48025.0,11.0,11,0,1,0,0,0,1,0,0,0.007884115980483707,0.0030484434656167887,0.005586927790460171,0.000564575902163339,0.005208333333333334,0.004124557311911549,0.7603181912450225,0.2527399739516665,0.18015544576789133,0.01928925454207872,0.05542115510414207,0.22452557193971232,0,0,0,0,1,0,0,0,0.021815995679597355,0.15636745522883044,0.7224080267558528,0.5077605321507763,0.03729603729603731,0.45360824742268047,0.12432718026615593,0.5741617158392911,0.42583828416070885,U,Coastal_Bend_RAC_U,0.05713979770962366,0.06751655864966882,321,12,146,0.0021968720726204117,0.0005087993761263724,1.9020537425284953e-05,0.00023141653867430026,0.00710846305295215,0.07303370786516855,0.0,0.003512211239296236,0.4001813564383173,0.0021188392445877476,0.0,0.011767969708676879,0.0
9,13,Bell,362924,0.07644575161889021,0.07636960491241913,0.17573221757322166,0.6998009701339193,0.5799072219934801,0.23327084716835644,0.15650807769548736,0.08279940556760157,0.8506551149422918,0.1493448850577077,Texas,1523.0,13.0,0.04395702243856109,0.07257268177792764,0.05690523090391771,48027.0,7.0,7,1,0,0,0,1,0,0,0,0.07196014929970355,0.09425621380770571,0.07791661660458969,0.033179691480983924,0.534375,0.18468731104776712,0.25084798869741975,0.7132450192984634,0.22238169473449693,0.14113966373154208,0.5102209977244582,1.0,0,0,0,0,0,0,0,1,0.16769072438072535,0.3289022772496131,0.2642140468227425,0.9268292682926831,0.3706293706293705,0.22680412371134026,0.15299012647359905,0.8539925485852382,0.14600745141476185,L,Central_Texas_RAC_L,0.03939575398041395,0.04437005911259882,291,25,158,0.0021621819901040946,0.0005930206966260995,5.0946795242792045e-05,0.00032198374593444575,0.07809133342673637,0.15168539325842695,0.26262626262626265,0.043339298989509625,0.3602078488671824,0.004196470886466588,3.5820171716392413e-05,0.1136421487437041,-2.8663680105477436
