,County,Population_Estimate,Population_Male,Population_Female,MEDIAN_AGE_TOT,Age017_Per_Pop_Est,Age1844_Per_Pop_Est,Age4554_Per_Pop_Est,Age_5564_Per_Pop_Est,Age_65_plus_Per_Pop_Est,Pop_Female_Ratio,Pop_Male_Ratio,State,Confirmed,Deaths,Active,Incidence_Rate,Lethality_Rate,FIPS,Public_Health_Region,Health_Service_Region,Metro_Area_Metro,Metro_Area_Non-Metro,NCHS_Urban_Rural_Classification_2013_Large Central Metro,NCHS_Urban_Rural_Classification_2013_Large Fringe Metro,NCHS_Urban_Rural_Classification_2013_Medium Metro,NCHS_Urban_Rural_Classification_2013_Micropolitan,NCHS_Urban_Rural_Classification_2013_Non-core,NCHS_Urban_Rural_Classification_2013_Small Metro,White,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_Or_More_Races,White_Pop_Ratio,Black_Pop_Ratio,American_Indian_Alaskan_Native_Pop_Ratio,Asian_Pop_Ratio,Native_Hawaiian_Other_Pacific_Islander_Pop_Ratio,Two_Or_More_Races_Pop_Ratio,Social_Distancing_Score_B,Social_Distancing_Score_B-,Social_Distancing_Score_C,Social_Distancing_Score_C-,Social_Distancing_Score_D,Social_Distancing_Score_D+,Social_Distancing_Score_D-,Social_Distancing_Score_F,Per_Capita_Income,Median_Household_Income,Percent_Population_Poverty,Percentage_High_School_Graduate_Or_Higher,Percentage_Bachelors_Degree_Or_Higher,Unemployment_Rate_Percentage,Land_Area,Percent_Urban,Percent_Rural,Trauma_Area_Letter,Service_Area_RAC,Trauma_Service_Area_Population_Estimate,Total_Staffed_Hospital_Beds,Available_Hospital_Beds,Available_ICU_Beds,Available_Ventilators,Total_Staffed_Hospital_Beds_Ratio,Available_Hospital_Beds_Ratio,Available_ICU_Beds_Ratio,Available_Ventilators_Ratio,Medicaid_Caseload,Nursing_Homes_With_Cases_In_HSR,Assisted_Living_Facilities_With_Cases_In_HSR,# Uninsured,Medicaid_Caseload_Ratio,Confirmed_Per_Capita,Deaths_Per_Capita,Population_Density,Log_Lethality,Sqrt_Lethality,Sq_Lethality
0,Anderson,57735,0.014499541676237357,0.008773682409135588,0.4671814671814669,0.2014570172181458,0.5631578155689722,0.801089982776275,0.30100771239112567,0.2891316162699624,0.08504620546254404,0.9149537945374555,Texas,1533.0,3.0,0.03709286808678891,0.5968421211388449,0.013481191563383343,48001.0,4.0,4/5N,0,1,0,0,0,1,0,0,0.012263468125758778,0.013382114097669236,0.00792983299291121,0.0015171167832491777,0.016666666666666666,0.010494946877429386,0.45133157284300585,0.6369285330696458,0.10849999218500939,0.033315551637378565,0.10003165724590693,0.3283280270638773,0,0,0,0,0,0,1,0,0.08076299941919118,0.21836443076584866,0.4916387959866221,0.7028824833702885,0.10489510489510492,0.16494845360824742,0.15444308688042796,0.33168865169670725,0.6683113483032928,G,Piney_Woods_RAC_G,0.0998850343827316,0.11366711772665763,554,89,231,0.0020999142070449333,0.0005719530337772336,9.188415163569276e-05,0.00023848583177353964,0.010465073407416692,0.19662921348314605,0.030303030303030304,0.007042044109143974,0.28753401974038656,0.02655235126006755,5.1961548454143937e-05,0.01751340007948312,-4.306459782494833,0.11610853355108462,0.00018174252596863823
1,Andrews,18705,0.0034185007102628165,0.003241815585330858,0.16216216216216206,0.7621828011194651,0.4838051382440417,0.3141247894154875,0.18531007050095416,0.04374725572540511,0.7547673538938651,0.2452326461061345,Texas,132.0,2.0,0.002495922502841892,0.13452293857811734,0.10437710437710437,48003.0,9.0,9/10,0,1,0,0,0,1,0,0,0.004511532507669056,0.0003656431492929482,0.004846009051223517,0.00033585028026126835,0.0006944444444444445,0.0025481558262071343,0.9019273983458687,0.048566145716246664,0.3511118603772848,0.021862294034663225,0.012864937474588872,0.2640734967980557,0,0,0,0,0,1,0,0,0.24144325905093794,0.7538951938666154,0.18729096989966557,0.5609756097560976,0.0769230769230769,0.11340206185567012,0.22677739986130835,0.84080153056087,0.15919846943913,J,Texas_J_RAC_J,0.04395590069289472,0.06124919877501603,508,26,212,0.0024642325567267092,0.0009644299990887276,4.9360590504541174e-05,0.000402478661037028,0.002520407335579922,0.0,0.030303030303030304,0.0029945758418458658,0.2062296455022709,0.007056936647955092,0.00010692328254477412,0.003637512171010051,-2.2597449343175535,0.32307445639837323,0.01089457991814894
2,Angelina,86715,0.017441967400198554,0.018089423697836317,0.3938223938223937,0.5012181058518606,0.3293986459155299,0.48764754616628103,0.3635396010112344,0.36635530668567995,0.9051346234517945,0.09486537654820504,Texas,645.0,9.0,0.015000247121039886,0.14356335322327715,0.09612403100775194,48005.0,5.0,4/5N,0,1,0,0,0,1,0,0,0.020563967511104828,0.01440995399698982,0.012675717890183827,0.0026317922823921804,0.011284722222222222,0.012989116351386368,0.5982269114297802,0.45313523805679135,0.11707132596297093,0.03972603230023475,0.045094598988185484,0.25645752224930074,0,0,0,0,0,0,0,1,0.12819572239374766,0.2277623588249842,0.42809364548494977,0.6962305986696233,0.19580419580419575,0.31958762886597936,0.11072218736584881,0.5731547678984997,0.4268452321015003,H,Deep_East_Texas_RAC_H,0.011732492488250614,0.0101132397977352,234,8,97,0.0021311698285143175,0.0008598167928833626,2.9395445910542308e-05,0.0003564197816653255,0.021201507230132803,0.19662921348314605,0.030303030303030304,0.016225116330295438,0.44734822134646857,0.007438159487977858,0.00010378827192527245,0.035528378828244736,-2.342115931750681,0.310038757267139,0.009239829337179256
3,Aransas,23510,0.004301784489879022,0.0043967466351041715,0.9227799227799227,0.141439756859845,0.05413865345771807,0.3774364466185727,0.7213219196011358,0.9449971970652734,0.8635181394180482,0.13648186058195133,Texas,49.0,0.0,0.0004942420797706717,0.0165986686182064,0.0,48007.0,11.0,11,1,0,0,0,1,0,0,0,0.005793651496248123,0.0003911531364529213,0.005526853298089631,0.0013810395145226293,0.004166666666666667,0.004340502720912153,0.8697774775839304,0.03921085188375096,0.29921553903963144,0.08924798016229211,0.061413523299579297,0.3559183910766138,0,0,0,0,0,0,0,1,0.22491568082006136,0.23132093099942297,0.49498327759197314,0.7694013303769403,0.3006993006993006,0.4948453608247423,0.020622131228742197,0.7324539321317087,0.2675460678682912,U,Coastal_Bend_RAC_U,0.05713979770962366,0.06751655864966882,321,12,146,0.0021968720726204117,0.0005087993761263724,1.9020537425284953e-05,0.00023141653867430026,0.004272451756100079,0.07303370786516855,0.0,0.0036465761722514383,0.31743713879950963,0.002084219481071884,0.0,0.030412764406845483,0.0,0.0,0.0
4,Atascosa,51153,0.010222138385117716,0.010214395667575437,0.32432432432432434,0.5830824837227471,0.375231767594857,0.41467199814727196,0.291596969815064,0.28304304392021695,0.8427869067278557,0.1572130932721434,Texas,188.0,2.0,0.003879800326199773,0.05432873858201882,0.07328605200945626,48013.0,8.0,8,1,0,0,1,0,0,0,0,0.014009592081633127,0.0006940842339776022,0.013096239336777603,0.0008801593551674619,0.011805555555555555,0.0064459704586680485,0.9247256289687071,0.028052642123429512,0.3096083391168458,0.01831585767406286,0.07997296625529572,0.21360560321481034,0,0,0,0,1,0,0,0,0.10540152233057198,0.28191036245225465,0.35451505016722407,0.5942350332594235,0.16317016317016317,0.22680412371134026,0.18034871049763895,0.39562984593696504,0.604370154063035,P,Southwest_Texas_RAC_P,0.3501413749270153,0.3177124136457517,1008,125,496,0.0016630502085686974,0.00034218301903189366,4.24334100982011e-05,0.00016837577126966195,0.013460361469770596,0.29213483146067415,0.2222222222222222,0.007882375616068724,0.5055198223483538,0.0036752487635133813,3.909839110120619e-05,0.013407976406521166,-2.6133849745611317,0.2707139671488271,0.005370845419132728
5,Austin,30032,0.005712472095290279,0.0057556874031586104,0.5405405405405403,0.4267264310535557,0.2224829236745406,0.43928194386130737,0.5268528150201879,0.5138763107600172,0.8481659294087005,0.1518340705912986,Texas,117.0,0.0,0.0021746651509909555,0.059559999955019455,0.0,48015.0,6.0,6/5S,1,0,0,1,0,0,0,0,0.007136823769997622,0.002913453116895264,0.004265288958308302,0.0006543289943021262,0.0022569444444444447,0.005139500734214391,0.7438909482601206,0.26252435478397446,0.13347382875140618,0.026898611622886145,0.026041410170887746,0.3197770197213029,0,0,0,0,0,0,1,0,0.24848429268690336,0.41034871259377315,0.17056856187290967,0.7516629711751666,0.3193473193473193,0.2371134020618557,0.08574117491661988,0.3389386768704058,0.6610613231295942,Q,Southeast_Texas_Trauma_RAC_Q,0.8238755348787052,0.9346912613061747,2388,194,1220,0.0020276330411789513,0.00035702608039635275,2.9004631321981758e-05,0.00018240025882895744,0.004371262342105845,0.6910112359550562,1.0,0.004532063107464413,0.21174323083547653,0.003895844432605221,0.0,0.014901740799502234,0.0,0.0,0.0
6,Bailey,7000,0.0008298162384772101,0.0008590326567292016,0.2432432432432432,0.7503964103390182,0.31854767197636147,0.2196269287108117,0.2385073677665689,0.27987157536605256,0.8148706982541349,0.18512930174586506,Texas,111.0,1.0,0.0020016804230712205,0.3432132497074726,0.062062062062062065,48017.0,1.0,1,0,1,0,0,0,0,1,0,0.001093769603828285,0.00011798369061487572,0.004125115142777044,0.0001447630518367536,0.0015625,0.0006154444156517233,0.850875118915585,0.05112776931775758,0.9999999999999998,0.03246647691302727,0.07734813925570228,0.23974997342123613,0,0,1,0,0,0,0,0,0.16498028306789353,0.2057514220549037,0.35785953177257523,0.4235033259423502,0.07925407925407923,0.2371134020618557,0.11554337417032658,0.717450407813916,0.28254959218608394,B,B_RAC_B,0.04229071555496319,0.06117797877644042,382,36,140,0.0025254098679855135,0.0007437984345184781,7.009618754624401e-05,0.00027259628490206006,0.0013612264310943639,0.02247191011235955,0.09090909090909091,0.0009427572345053554,0.46500892144780515,0.015857142857142858,0.00014285714285714287,0.0023119291701112527,-2.779620393603462,0.24912258440788154,0.0038516995473952434
7,Bandera,23112,0.004232918296891996,0.004296849314375604,0.9999999999999998,0.08254947656629152,0.0,0.48008330251973974,1.0,0.8965682990956089,0.8533994293031277,0.14660057069687182,Texas,33.0,0.0,9.884841595413432e-05,0.0010328756565158512,0.0,48019.0,8.0,8,1,0,0,1,0,0,0,0,0.005851957383585885,0.00023171571670308925,0.0054667788057190915,0.00033874554129800343,0.0017361111111111112,0.0036710719530102785,0.9250674559814611,0.02083687086889293,0.3024278599203974,0.015662964616133538,0.02602962264864409,0.3026151834030091,0,0,0,0,1,0,0,0,0.17468080987171258,0.31507790387733237,0.2775919732441472,0.8492239467849225,0.3892773892773892,0.16494845360824742,0.10959944523329922,0.0,0.9999999999999999,P,Southwest_Texas_RAC_P,0.3501413749270153,0.3177124136457517,1008,125,496,0.0016630502085686974,0.00034218301903189366,4.24334100982011e-05,0.00016837577126966195,0.0028094651692684327,0.29213483146067415,0.2222222222222222,0.0024846499077617774,0.1599405817597973,0.0014278296988577363,0.0,0.009190093253822211,0.0,0.0,0.0
8,Bastrop,88723,0.018622102968218465,0.017772871428354653,0.4208494208494209,0.49801972161227503,0.3060598080338216,0.5264772621285165,0.49454813183616153,0.31893644682501854,0.7746953900778273,0.22530460992217272,Texas,659.0,8.0,0.015370928680867887,0.14331322222566276,0.08362839318833248,48021.0,7.0,7,1,0,0,1,0,0,0,0,0.022830265456631256,0.006822858649161146,0.03474308142096199,0.0023451614397554084,0.022569444444444444,0.02005053122570614,0.7471448297469525,0.20390338358821644,0.5277374439314886,0.03316513267559794,0.08814801463567518,0.41560972297771737,0,0,0,0,0,0,0,1,0.10439274906000678,0.437017394410706,0.25083612040133785,0.7117516629711751,0.25874125874125864,0.154639175257732,0.12564805336327314,0.36401168059611316,0.6359883194038868,O,Capital _Area_Trauma_RAC_O,0.2779464353633885,0.20988533580229327,753,70,374,0.001425018954646509,0.00031699830807941547,2.9468634217209935e-05,0.00015744670281766452,0.019102888366159587,0.15168539325842695,0.26262626262626265,0.01596960268729866,0.3702499587807515,0.007427611780485331,9.016827654610417e-05,0.03261137223973984,-2.4813721851137993,0.28918574167536765,0.006993708147262335
9,Bee,32565,0.007805833265964231,0.0047605077650145254,0.3050193050193051,0.29178391117904856,0.7042819752942474,0.5169822403179751,0.1553913049545801,0.1742192816000212,0.12178760527504373,0.8782123947249558,Texas,135.0,0.0,0.00261948302278456,0.06548170041239063,0.0,48025.0,11.0,11,0,1,0,0,0,1,0,0,0.007884115980483707,0.0030484434656167887,0.005586927790460171,0.000564575902163339,0.005208333333333334,0.004124557311911549,0.7603181912450225,0.2527399739516665,0.18015544576789133,0.01928925454207872,0.05542115510414207,0.22452557193971232,0,0,0,0,1,0,0,0,0.021815995679597355,0.1611662224176308,0.7224080267558528,0.5077605321507763,0.03729603729603731,0.45360824742268047,0.12432718026615593,0.5741617158392911,0.42583828416070885,U,Coastal_Bend_RAC_U,0.05713979770962366,0.06751655864966882,321,12,146,0.0021968720726204117,0.0005087993761263724,1.9020537425284953e-05,0.00023141653867430026,0.00710846305295215,0.07303370786516855,0.0,0.003512211239296236,0.4001813564383173,0.004145555043758637,0.0,0.011767969708676879,0.0,0.0,0.0
