,County,Population_Estimate,Population_Male,Population_Female,MEDIAN_AGE_TOT,Age017_Per_Pop_Est,Age1844_Per_Pop_Est,Age4554_Per_Pop_Est,Age_5564_Per_Pop_Est,Age_65_plus_Per_Pop_Est,Pop_Female_Ratio,Pop_Male_Ratio,State,Confirmed,Deaths,Active,Incidence_Rate,Lethality_Rate,FIPS,Public_Health_Region,Health_Service_Region,Metro_Area_Metro,Metro_Area_Non-Metro,NCHS_Urban_Rural_Classification_2013_Large Central Metro,NCHS_Urban_Rural_Classification_2013_Large Fringe Metro,NCHS_Urban_Rural_Classification_2013_Medium Metro,NCHS_Urban_Rural_Classification_2013_Micropolitan,NCHS_Urban_Rural_Classification_2013_Non-core,NCHS_Urban_Rural_Classification_2013_Small Metro,White,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_Or_More_Races,White_Pop_Ratio,Black_Pop_Ratio,American_Indian_Alaskan_Native_Pop_Ratio,Asian_Pop_Ratio,Native_Hawaiian_Other_Pacific_Islander_Pop_Ratio,Two_Or_More_Races_Pop_Ratio,Social_Distancing_Score_B-,Social_Distancing_Score_C,Social_Distancing_Score_C-,Social_Distancing_Score_D,Social_Distancing_Score_D+,Social_Distancing_Score_D-,Social_Distancing_Score_F,Per_Capita_Income,Median_Household_Income,Percent_Population_Poverty,Percentage_High_School_Graduate_Or_Higher,Percentage_Bachelors_Degree_Or_Higher,Unemployment_Rate_Percentage,Land_Area,Percent_Urban,Percent_Rural,Trauma_Area_Letter,Service_Area_RAC,Trauma_Service_Area_Population_Estimate,Total_Staffed_Hospital_Beds,Available_Hospital_Beds,Available_ICU_Beds,Available_Ventilators,Total_Staffed_Hospital_Beds_Ratio,Available_Hospital_Beds_Ratio,Available_ICU_Beds_Ratio,Available_Ventilators_Ratio,Medicaid_Caseload,Nursing_Homes_With_Cases_In_HSR,Assisted_Living_Facilities_With_Cases_In_HSR,# Uninsured,Medicaid_Caseload_Ratio,Confirmed_Per_Capita,Deaths_Per_Capita,Population_Density
0,Anderson,57735,35474,22261,39.4,0.1901792673421668,0.40032908980687626,0.1424612453451113,0.11706936866718629,0.1499610288386594,0.38557201004589936,0.6144279899541006,Texas,2140.0,4.0,2136.0,3706.590456395601,0.1869158878504673,48001.0,4.0,4/5N,0,1,0,0,0,1,0,0,43035,12628,428,538,96,1010,0.7453884125746947,0.2187234779596432,0.007413180912791201,0.009318437689443146,0.001662769550532606,0.017493721312895123,0,0,0,0,0,0,1,34242,45969,19.8,80.2,11.8,3.6,1062.6,32.94,67.06,G,Piney_Woods_RAC_G,968611,1993,319,23,229,0.0020575855529206253,0.00032933757721107854,2.374534255753858e-05,0.00023642101937723192,7389.0,101.0,22.0,7161,0.12798129384255652,0.037065904563956004,6.928206460552524e-05,54.33370976849238
1,Andrews,18705,9568,9137,31.5,0.3102379043036621,0.3776530339481422,0.11013098102111735,0.10398289227479283,0.09799518845228548,0.4884790163058006,0.5115209836941994,Texas,225.0,4.0,221.0,1202.8869286287088,1.7777777777777777,48003.0,9.0,9/10,0,1,0,0,0,1,0,0,17641,382,274,130,4,274,0.9431168136861802,0.020422346966051858,0.014648489708634055,0.006950013365410318,0.00021384656508954825,0.014648489708634055,0,0,0,0,1,0,0,50011,84946,10.7,73.8,10.6,3.1,1500.7,83.5,16.5,J,Texas_J_RAC_J,526736,1754,770,48,172,0.0033299413748063547,0.0014618328726344887,9.112724400838371e-05,0.00032653929103004163,2002.0,47.0,19.0,3486,0.1070302058273189,0.012028869286287089,0.00021384656508954825,12.464183381088825
2,Angelina,86715,42353,44362,37.5,0.2543619904284149,0.33352937784696995,0.12165138672663323,0.12414230525283976,0.16631493974514214,0.5115839243498818,0.4884160756501182,Texas,1405.0,14.0,1391.0,1620.2502450556424,0.99644128113879,48005.0,5.0,4/5N,0,1,0,0,0,1,0,0,70226,13595,665,923,65,1241,0.8098483538026869,0.15677795075823098,0.007668800092256242,0.010644063887447385,0.0007495819639047454,0.014311249495473678,0,0,0,0,0,0,1,38897,46653,17.9,79.9,15.7,5.1,797.8,56.92,43.08,H,Deep_East_Texas_RAC_H,272151,427,122,9,49,0.0015689819254751957,0.00044828055013577023,3.30698766493601e-05,0.00018004710620207165,14669.0,101.0,22.0,15499,0.16916335120798018,0.01620250245055642,0.00016144842299486823,108.69265480070193
3,Aransas,23510,11633,11877,51.2,0.17732879625691195,0.25487026797107615,0.11433432581880051,0.1646108039132284,0.288855806039983,0.5051892811569545,0.4948107188430455,Texas,123.0,0.0,123.0,523.1816248404934,0.0,48007.0,11.0,11,1,0,0,0,1,0,0,0,21841,406,308,491,24,440,0.9290089323692046,0.017269247128881327,0.013100808166737558,0.02088472990216929,0.0010208421948107189,0.01871544023819651,0,0,0,0,0,0,1,48389,46912,19.9,83.2,20.2,6.8,252.1,72.74,27.26,U,Coastal_Bend_RAC_U,630897,2350,1071,148,167,0.0037248552457849696,0.001697582965206682,0.00023458662824518106,0.00026470247916854893,3190.0,,,4078,0.13568694172692472,0.005231816248404934,0.0,93.25664418881397
4,Archer,8553,4186,4367,44.1,0.2154799485560622,0.29358119957909506,0.13059745118671812,0.164269846837367,0.19607155384075764,0.5105810826610546,0.4894189173389454,Texas,15.0,0.0,15.0,175.377060680463,0.0,48009.0,2.0,2/3,1,0,0,0,0,0,0,1,8138,96,131,41,6,141,0.9514790132117386,0.011224131883549631,0.015316263299427101,0.0047936396585993215,0.0007015082427218519,0.016485443703963522,0,1,0,0,0,0,0,50310,61190,10.6,90.1,21.8,3.4,903.3,11.01,88.99,C,North_Texas_RAC_C,219793,1050,237,14,30,0.0047772222045288065,0.0010782872975936449,6.369629606038409e-05,0.00013649206298653734,687.0,261.0,152.0,1341,0.08032269379165205,0.00175377060680463,0.0,9.468615078047161
5,Armstrong,1887,923,964,44.7,0.22575516693163752,0.2771595124536301,0.10333863275039745,0.14467408585055644,0.24907260201377848,0.510863804981452,0.48913619501854794,Texas,4.0,0.0,4.0,211.97668256491787,0.0,48011.0,1.0,1,1,0,0,0,1,0,0,0,1817,22,25,7,0,16,0.9629040805511394,0.011658717541070483,0.013248542660307366,0.0037095919448860626,0.0,0.008479067302596715,0,1,0,0,0,0,0,47995,57210,10.7,89.8,23.1,2.5,909.1,0.0,100.0,A,Panhandle_RAC_A,440127,1306,467,68,112,0.002967325340185901,0.001061057376620839,0.0001545008599790515,0.00025447200467137895,159.0,50.0,23.0,254,0.08426073131955485,0.0021197668256491787,0.0,2.075679243207568
6,Atascosa,51153,25474,25679,35.7,0.2718902117177878,0.34662678630774346,0.11680644341485348,0.11600492639727875,0.14867163216233653,0.5020037925439368,0.49799620745606316,Texas,393.0,3.0,390.0,768.2833851387015,0.7633587786259541,48013.0,8.0,8,1,0,0,1,0,0,0,0,48755,691,686,318,68,635,0.9531210290696538,0.013508494125466737,0.013410748147713722,0.006216644185091783,0.0013293452974410102,0.012413739174632964,0,0,0,0,0,1,0,36660,50594,15.7,75.3,14.3,4.2,1219.5,39.29,60.71,P,Southwest_Texas_RAC_P,2945792,5681,715,101,695,0.0019285136221430434,0.00024271910576171025,3.428619535934649e-05,0.00023592976014599808,9420.0,128.0,55.0,7924,0.18415342208668115,0.007682833851387016,5.864758665180928e-05,41.945879458794586
7,Austin,30032,14931,15101,41.3,0.23841236014917422,0.30297682472029835,0.11844033031433138,0.14261454448588173,0.19755594033031434,0.5028303143313798,0.49716968566862013,Texas,181.0,0.0,181.0,602.690463505594,0.0,48015.0,6.0,6/5S,1,0,0,1,0,0,0,0,26241,2779,245,240,13,514,0.8737679808204581,0.09253462972828982,0.00815796483750666,0.007991475759190196,0.00043287160362280233,0.01711507725093234,0,0,0,0,0,1,0,50702,59942,10.2,82.4,21.0,4.3,646.5,33.66,66.34,Q,Southeast_Texas_Trauma_RAC_Q,6688587,6905,1243,70,915,0.001032355563290124,0.00018583895223310993,1.0465588621333625e-05,0.0001368001941217181,3257.0,186.0,147.0,4882,0.10845098561534364,0.006026904635055941,0.0,46.45320959010054
8,Bailey,7000,3516,3484,33.6,0.3077142857142857,0.3304285714285714,0.10385714285714286,0.11,0.148,0.4977142857142857,0.5022857142857143,Texas,132.0,3.0,129.0,1885.7142857142856,2.272727272727273,48017.0,1.0,1,0,1,0,0,0,0,1,0,6445,149,238,64,9,95,0.9207142857142857,0.021285714285714286,0.034,0.009142857142857144,0.0012857142857142856,0.013571428571428571,0,1,0,0,0,0,0,42507,45051,15.8,67.6,10.7,4.3,827.0,71.25,28.75,B,B_RAC_B,513580,2720,757,28,206,0.005296156392382881,0.0014739670547918532,5.451925698041201e-05,0.0004011059620701741,1216.0,50.0,23.0,1623,0.1737142857142857,0.018857142857142857,0.00042857142857142855,8.464328899637243
9,Bandera,23112,11472,11640,53.2,0.1647196261682243,0.2393994461751471,0.12114918656974731,0.1961318795430945,0.2785998615437868,0.5036344755970924,0.4963655244029076,Texas,71.0,0.0,71.0,307.19972308757355,0.0,48019.0,8.0,8,1,0,0,1,0,0,0,0,22032,256,305,131,10,378,0.9532710280373832,0.01107649705780547,0.013196607822776048,0.0056680512287988925,0.00043267566632052614,0.016355140186915886,0,0,0,1,0,0,0,43459,53008,13.4,86.8,24.0,3.6,791.0,0.0,100.0,P,Southwest_Texas_RAC_P,2945792,5681,715,101,695,0.0019285136221430434,0.00024271910576171025,3.428619535934649e-05,0.00023592976014599808,2198.0,128.0,55.0,3023,0.09510211145725164,0.0030719972308757356,0.0,29.218710493046775
