,County,Population_Estimate,Population_Male,Population_Female,MEDIAN_AGE_TOT,Age017_Per_Pop_Est,Age1844_Per_Pop_Est,Age4554_Per_Pop_Est,Age_5564_Per_Pop_Est,Age_65_plus_Per_Pop_Est,Pop_Female_Ratio,Pop_Male_Ratio,State,Confirmed,Deaths,Active,Incidence_Rate,Lethality_Rate,FIPS,Public_Health_Region,Health_Service_Region,Metro_Area_Metro,Metro_Area_Non-Metro,NCHS_Urban_Rural_Classification_2013_Large Central Metro,NCHS_Urban_Rural_Classification_2013_Large Fringe Metro,NCHS_Urban_Rural_Classification_2013_Medium Metro,NCHS_Urban_Rural_Classification_2013_Micropolitan,NCHS_Urban_Rural_Classification_2013_Non-core,NCHS_Urban_Rural_Classification_2013_Small Metro,White,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_Or_More_Races,White_Pop_Ratio,Black_Pop_Ratio,American_Indian_Alaskan_Native_Pop_Ratio,Asian_Pop_Ratio,Native_Hawaiian_Other_Pacific_Islander_Pop_Ratio,Two_Or_More_Races_Pop_Ratio,Rating,Social_Distancing_Score_B-,Social_Distancing_Score_C,Social_Distancing_Score_C-,Social_Distancing_Score_D,Social_Distancing_Score_D+,Social_Distancing_Score_D-,Social_Distancing_Score_F,Per_Capita_Income,Median_Household_Income,Percent_Population_Poverty,Percentage_High_School_Graduate_Or_Higher,Percentage_Bachelors_Degree_Or_Higher,Unemployment_Rate_Percentage,Land_Area,Percent_Urban,Percent_Rural,Trauma_Area_Letter,Service_Area_RAC,Trauma_Service_Area_Population_Estimate,Total_Staffed_Hospital_Beds,Available_Hospital_Beds,Available_ICU_Beds,Available_Ventilators,Total_Staffed_Hospital_Beds_Ratio,Available_Hospital_Beds_Ratio,Available_ICU_Beds_Ratio,Available_Ventilators_Ratio,Medicaid_Caseload,Nursing_Homes_With_Cases_In_HSR,Assisted_Living_Facilities_With_Cases_In_HSR,Population_Estimate,,# Uninsured,Medicaid_Caseload_Ratio,Confirmed_Per_Capita,Deaths_Per_Capita,Population_Density
0,Anderson,57735,35474,22261,39.4,0.190179267,0.40032909,0.142461245,0.117069369,0.149961029,0.38557201,0.61442799,Texas,2140,4,2136,3706.590456,0.186915888,48001,4,4/5N,0,1,0,0,0,1,0,0,43035,12628,428,538,96,1010,0.745388413,0.218723478,0.007413181,0.009318438,0.00166277,0.017493721,1,0,0,0,0,0,0,1,34242,45969,19.8,80.2,11.8,3.6,1062.6,32.94,67.06,G,Piney_Woods_RAC_G,968611,1993,319,23,229,0.002057586,0.000329338,2.37E-05,0.000236421,7389,101,22,57735,0.124032216,7161,0.127981294,0.037065905,6.93E-05,54.33370977
1,Andrews,18705,9568,9137,31.5,0.310237904,0.377653034,0.110130981,0.103982892,0.097995188,0.488479016,0.511520984,Texas,225,4,221,1202.886929,1.777777778,48003,9,10-Sep,0,1,0,0,0,1,0,0,17641,382,274,130,4,274,0.943116814,0.020422347,0.01464849,0.006950013,0.000213847,0.01464849,4,0,0,0,0,1,0,0,50011,84946,10.7,73.8,10.6,3.1,1500.7,83.5,16.5,J,Texas_J_RAC_J,526736,1754,770,48,172,0.003329941,0.001461833,9.11E-05,0.000326539,2002,47,19,18705,0.186367281,3486,0.107030206,0.012028869,0.000213847,12.46418338
3,Aransas,23510,11633,11877,51.2,0.177328796,0.254870268,0.114334326,0.164610804,0.288855806,0.505189281,0.494810719,Texas,123,0,123,523.1816248,0,48007,11,11,1,0,0,0,1,0,0,0,21841,406,308,491,24,440,0.929008932,0.017269247,0.013100808,0.02088473,0.001020842,0.01871544,1,0,0,0,0,0,0,1,48389,46912,19.9,83.2,20.2,6.8,252.1,72.74,27.26,U,Coastal_Bend_RAC_U,630897,2350,1071,148,167,0.003724855,0.001697583,0.000234587,0.000264702,3190,,,23510,0.173458103,4078,0.135686942,0.005231816,0,93.25664419
4,Archer,8553,4186,4367,44.1,0.215479949,0.2935812,0.130597451,0.164269847,0.196071554,0.510581083,0.489418917,Texas,15,0,15,175.3770607,0,48009,2,3-Feb,1,0,0,0,0,0,0,1,8138,96,131,41,6,141,0.951479013,0.011224132,0.015316263,0.00479364,0.000701508,0.016485444,6,0,1,0,0,0,0,0,50310,61190,10.6,90.1,21.8,3.4,903.3,11.01,88.99,C,North_Texas_RAC_C,219793,1050,237,14,30,0.004777222,0.001078287,6.37E-05,0.000136492,687,261,152,8553,0.156787092,1341,0.080322694,0.001753771,0,9.468615078
5,Armstrong,1887,923,964,44.7,0.225755167,0.277159512,0.103338633,0.144674086,0.249072602,0.510863805,0.489136195,Texas,4,0,4,211.9766826,0,48011,1,1,1,0,0,0,1,0,0,0,1817,22,25,7,0,16,0.962904081,0.011658718,0.013248543,0.003709592,0,0.008479067,6,0,1,0,0,0,0,0,47995,57210,10.7,89.8,23.1,2.5,909.1,0,100,A,Panhandle_RAC_A,440127,1306,467,68,112,0.002967325,0.001061057,0.000154501,0.000254472,159,50,23,1887,0.134605193,254,0.084260731,0.002119767,0,2.075679243
6,Atascosa,51153,25474,25679,35.7,0.271890212,0.346626786,0.116806443,0.116004926,0.148671632,0.502003793,0.497996207,Texas,393,3,390,768.2833851,0.763358779,48013,8,8,1,0,0,1,0,0,0,0,48755,691,686,318,68,635,0.953121029,0.013508494,0.013410748,0.006216644,0.001329345,0.012413739,2,0,0,0,0,0,1,0,36660,50594,15.7,75.3,14.3,4.2,1219.5,39.29,60.71,P,Southwest_Texas_RAC_P,2945792,5681,715,101,695,0.001928514,0.000242719,3.43E-05,0.00023593,9420,128,55,51153,0.154907826,7924,0.184153422,0.007682834,5.86E-05,41.94587946
7,Austin,30032,14931,15101,41.3,0.23841236,0.302976825,0.11844033,0.142614544,0.19755594,0.502830314,0.497169686,Texas,181,0,181,602.6904635,0,48015,6,6/5S,1,0,0,1,0,0,0,0,26241,2779,245,240,13,514,0.873767981,0.09253463,0.008157965,0.007991476,0.000432872,0.017115077,2,0,0,0,0,0,1,0,50702,59942,10.2,82.4,21,4.3,646.5,33.66,66.34,Q,Southeast_Texas_Trauma_RAC_Q,6688587,6905,1243,70,915,0.001032356,0.000185839,1.05E-05,0.0001368,3257,186,147,30032,0.162559936,4882,0.108450986,0.006026905,0,46.45320959
8,Bailey,7000,3516,3484,33.6,0.307714286,0.330428571,0.103857143,0.11,0.148,0.497714286,0.502285714,Texas,132,3,129,1885.714286,2.272727273,48017,1,1,0,1,0,0,0,0,1,0,6445,149,238,64,9,95,0.920714286,0.021285714,0.034,0.009142857,0.001285714,0.013571429,6,0,1,0,0,0,0,0,42507,45051,15.8,67.6,10.7,4.3,827,71.25,28.75,B,B_RAC_B,513580,2720,757,28,206,0.005296156,0.001473967,5.45E-05,0.000401106,1216,50,23,7000,0.231857143,1623,0.173714286,0.018857143,0.000428571,8.4643289
9,Bandera,23112,11472,11640,53.2,0.164719626,0.239399446,0.121149187,0.19613188,0.278599862,0.503634476,0.496365524,Texas,71,0,71,307.1997231,0,48019,8,8,1,0,0,1,0,0,0,0,22032,256,305,131,10,378,0.953271028,0.011076497,0.013196608,0.005668051,0.000432676,0.01635514,3,0,0,0,1,0,0,0,43459,53008,13.4,86.8,24,3.6,791,0,100,P,Southwest_Texas_RAC_P,2945792,5681,715,101,695,0.001928514,0.000242719,3.43E-05,0.00023593,2198,128,55,23112,0.130797854,3023,0.095102111,0.003071997,0,29.21871049
10,Bastrop,88723,45112,43611,38.2,0.253677175,0.326860002,0.124229343,0.138960585,0.156272894,0.491541089,0.508458911,Texas,1190,12,1178,1341.253114,1.008403361,48021,7,7,1,0,0,1,0,0,0,0,77650,6457,1767,824,130,1895,0.875195834,0.07277707,0.019915918,0.009287332,0.001465234,0.021358611,1,0,0,0,0,0,0,1,36561,61883,12.6,80.6,18.4,3.5,888.2,36.15,63.85,O,Capital _Area_Trauma_RAC_O,2375407,5534,563,50,253,0.002329706,0.000237012,2.10E-05,0.000106508,13246,87,45,88723,0.172074885,15267,0.149296124,0.013412531,0.000135252,99.89079036
