,County,Population_Estimate,Population_Male,Population_Female,MEDIAN_AGE_TOT,Age017_Per_Pop_Est,Age1844_Per_Pop_Est,Age4554_Per_Pop_Est,Age_5564_Per_Pop_Est,Age_65_plus_Per_Pop_Est,Pop_Female_Ratio,Pop_Male_Ratio,State,Confirmed,Deaths,Active,Incidence_Rate,Lethality_Rate,FIPS,Public_Health_Region,Health_Service_Region,Metro_Area_Metro,Metro_Area_Non-Metro,NCHS_Urban_Rural_Classification_2013_Large Central Metro,NCHS_Urban_Rural_Classification_2013_Large Fringe Metro,NCHS_Urban_Rural_Classification_2013_Medium Metro,NCHS_Urban_Rural_Classification_2013_Micropolitan,NCHS_Urban_Rural_Classification_2013_Non-core,NCHS_Urban_Rural_Classification_2013_Small Metro,White,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_Or_More_Races,White_Pop_Ratio,Black_Pop_Ratio,American_Indian_Alaskan_Native_Pop_Ratio,Asian_Pop_Ratio,Native_Hawaiian_Other_Pacific_Islander_Pop_Ratio,Two_Or_More_Races_Pop_Ratio,Social_Distancing_Score_B,Social_Distancing_Score_B-,Social_Distancing_Score_C,Social_Distancing_Score_C-,Social_Distancing_Score_D,Social_Distancing_Score_D+,Social_Distancing_Score_D-,Social_Distancing_Score_F,Per_Capita_Income,Median_Household_Income,Percent_Population_Poverty,Percentage_High_School_Graduate_Or_Higher,Percentage_Bachelors_Degree_Or_Higher,Unemployment_Rate_Percentage,Land_Area,Percent_Urban,Percent_Rural,Trauma_Area_Letter,Service_Area_RAC,Trauma_Service_Area_Population_Estimate,Total_Staffed_Hospital_Beds,Available_Hospital_Beds,Available_ICU_Beds,Available_Ventilators,Total_Staffed_Hospital_Beds_Ratio,Available_Hospital_Beds_Ratio,Available_ICU_Beds_Ratio,Available_Ventilators_Ratio,Medicaid_Caseload,Nursing_Homes_With_Cases_In_HSR,Assisted_Living_Facilities_With_Cases_In_HSR,# Uninsured,Medicaid_Caseload_Ratio,Confirmed_Per_Capita,Deaths_Per_Capita,Population_Density,Uninsured_Per_Pop,Log_Lethality,Sqrt_Lethality
0,Anderson,57735,0.015074184635891025,0.009297338742632779,0.3853503184713375,0.41644772218709925,0.6076747509976925,0.803219491219967,0.2667835339794622,0.21576240869516133,0.2027649465694552,0.797235053430545,Texas,1533.0,3.0,0.0377586802983158,0.6070849893651065,0.009784735812133072,48001.0,4.0,4/5N,0,1,0,0,0,1,0,0,0.013016098159883477,0.013420914178212139,0.008426235414206512,0.0015518060010885804,0.016666666666666666,0.010815361699371803,0.45133157284300585,0.6400075497457607,0.10141808833290789,0.03801245065976384,0.10003165724590693,0.3283280270638773,0,0,0,0,0,0,1,0,0.13049882523043557,0.21836443076584866,0.4916387959866221,0.698237885462555,0.10489510489510492,0.16494845360824742,0.15444308688042796,0.33168865169670725,0.6683113483032928,G,Piney_Woods_RAC_G,0.0998850343827316,0.13939914163090128,319,23,229,0.0020575855529206253,0.00032933757721107854,2.374534255753858e-05,0.00023642101937723192,0.010850192163389743,0.19662921348314605,0.030303030303030304,0.007796052450573094,0.33868076310572526,0.02655235126006755,5.1961548454143937e-05,0.01790763440523514,0.12403221616004156,-4.626931677769604,0.09891782353111633
1,Andrews,18705,0.003999604998394771,0.003768394356466093,0.13375796178343935,0.8262100211232698,0.536408605007118,0.32146769286823806,0.164240560806592,0.03264607790350876,0.7863191967850407,0.21368080321495908,Texas,132.0,2.0,0.00318565713439028,0.15651176220730756,0.07575757575757576,48003.0,9.0,9/10,0,1,0,0,0,1,0,0,0.005270069318935737,0.00040495512013137124,0.005343954526349498,0.00037058053757339234,0.0006944444444444445,0.00287114392418453,0.9019273983458687,0.05663475195602613,0.3281944353484933,0.026614841820746353,0.012864937474588872,0.2640734967980557,0,0,0,0,0,1,0,0,0.27299837339598765,0.7538951938666154,0.18729096989966557,0.5572687224669601,0.0769230769230769,0.11340206185567012,0.22677739986130835,0.84080153056087,0.15919846943913,J,Texas_J_RAC_J,0.04395590069289472,0.11888412017167384,770,48,172,0.0033299413748063547,0.0014618328726344887,9.112724400838371e-05,0.00032653929103004163,0.0029086180894521687,0.0,0.030303030303030304,0.003751657651609779,0.26321309416843125,0.007056936647955092,0.00010692328254477412,0.004037314360297562,0.1863672814755413,-2.580216829592325,0.27524094128159016
2,Angelina,86715,0.018014894638451694,0.018608158605378126,0.32484076433121023,0.6355045166786055,0.39773709454102946,0.493132734352445,0.32220562964592037,0.27339003748020346,0.9173400842833257,0.08265991571667364,Texas,645.0,9.0,0.015681335506494788,0.1653224907151588,0.06976744186046512,48005.0,5.0,4/5N,0,1,0,0,0,1,0,0,0.021310272776494093,0.014448713656340843,0.013169745611752695,0.00266644277425855,0.011284722222222222,0.013308723528268895,0.5982269114297802,0.4577729082538984,0.10942996251573608,0.044391784260712296,0.045094598988185484,0.25645752224930074,0,0,0,0,0,0,0,1,0.17256461232604373,0.2277623588249842,0.42809364548494977,0.6916299559471366,0.19580419580419575,0.31958762886597936,0.11072218736584881,0.5731547678984997,0.4268452321015003,H,Deep_East_Texas_RAC_H,0.011732492488250614,0.0049785407725321945,122,9,49,0.0015689819254751957,0.00044828055013577023,3.30698766493601e-05,0.00018004710620207165,0.021582447455438292,0.19662921348314605,0.030303030303030304,0.01697215145295571,0.48702216996488573,0.007438159487977858,0.00010378827192527245,0.03591538443148692,0.17873493628553308,-2.662587827025453,0.26413527189768715
3,Aransas,23510,0.004882373737352146,0.004922715266104672,0.7611464968152867,0.3725888320016677,0.1505278072281765,0.38410154253563533,0.6393085722600704,0.7051974255855942,0.8810780128319389,0.1189219871680609,Texas,49.0,0.0,0.001185360794191732,0.0415835462034535,0.0,48007.0,11.0,11,1,0,0,0,1,0,0,0,0.006551211365560156,0.00043046410407665444,0.006024458098993255,0.0014157334599483504,0.004166666666666667,0.004662910433262095,0.8697774775839304,0.0473587954120366,0.2796854392132634,0.0936731162848984,0.061413523299579297,0.3559183910766138,0,0,0,0,0,0,0,1,0.25834086390746425,0.23132093099942297,0.49498327759197314,0.7643171806167399,0.3006993006993006,0.4948453608247423,0.020622131228742197,0.7324539321317087,0.2675460678682912,U,Coastal_Bend_RAC_U,0.05713979770962366,0.17004291845493563,1071,148,167,0.0037248552457849696,0.001697582965206682,0.00023458662824518106,0.00026470247916854893,0.004659980628868882,0.07303370786516855,0.0,0.004403162881810128,0.366437187166467,0.002084219481071884,0.0,0.030801822710656193,0.1734581029349213,0.0,0.0
4,Archer,8553,0.0016988488952138544,0.001758864889686522,0.535031847133758,0.5027994046752313,0.27218824591269464,0.6264376340163142,0.6366369018092317,0.3782458802695959,0.9116532748902857,0.08834672510971409,Texas,11.0,0.0,0.0002469501654566108,0.023137569134236077,0.0,48009.0,2.0,2/3,1,0,0,0,0,0,0,1,0.0023713329215376755,0.00010097306145007945,0.0024818365590536995,0.00011291125754189298,0.0010416666666666667,0.0014355719620922653,0.9209837007134489,0.029574954362010013,0.34912446885867837,0.01623768778986534,0.04220250008105662,0.3055578581811682,0,0,1,0,0,0,0,0,0.27570034339418037,0.4274958094034239,0.1839464882943144,0.9162995594713654,0.337995337995338,0.1443298969072165,0.12814120133408183,0.11086496828113987,0.8891350317188601,C,North_Texas_RAC_C,0.005105420167498185,0.0584549356223176,237,14,30,0.0047772222045288065,0.0010782872975936449,6.369629606038409e-05,0.00013649206298653734,0.0009700307667813113,1.0,0.9292929292929293,0.0013910517077250692,0.16701027763782433,0.001286098444990062,0.0,0.0030449579936356595,0.15678709224833393,0.0,0.0
5,Armstrong,1887,0.00030394604038677664,0.0003252320227156874,0.554140127388535,0.5378689107949557,0.22057828519529044,0.2202552201937702,0.4830884955827499,0.5650100583795694,0.9132565069509095,0.08674349304908979,Texas,3.0,0.0,4.939003309132216e-05,0.030157225320684704,0.0,48011.0,1.0,1,1,0,0,0,1,0,0,0,0.0004432141413679242,2.2320360952122825e-05,0.0003602665972819887,1.4475802248960639e-05,0.0,8.63501932085573e-05,0.9470198574834641,0.030853441527650148,0.28431588274031894,0.011020906456233133,0.0,0.12474798877344048,0,0,1,0,0,0,0,0,0.2547804084583408,0.37281195900085184,0.18729096989966557,0.909691629955947,0.36829836829836826,0.05154639175257733,0.12909883432949182,0.0,0.9999999999999999,A,Panhandle_RAC_A,0.03299360063124136,0.08042918454935623,467,68,112,0.002967325340185901,0.001061057376620839,0.0001545008599790515,0.00025447200467137895,0.00019164741592943838,0.02247191011235955,0.09090909090909091,0.00019479125970517188,0.1811954365280099,0.001589825119236884,0.0,0.0005958644655139081,0.13460519342872285,0.0,0.0
6,Atascosa,51153,0.010799275488397682,0.01073729088465638,0.26751592356687903,0.6953286528971343,0.43889953607312493,0.42093845440559496,0.25844278037594504,0.2112188549577892,0.8630140783468077,0.13698592165319168,Texas,188.0,2.0,0.0045685780609473,0.07835502362803876,0.05319148936170213,48013.0,8.0,8,1,0,0,1,0,0,0,0,0.014760891613857687,0.0007333832884268928,0.013590056641915016,0.0009148707021343124,0.011805555555555555,0.006767696392720679,0.9247256289687071,0.03629521251462479,0.2893998907540516,0.02308563678470414,0.07997296625529572,0.21360560321481034,0,0,0,0,1,0,0,0,0.15234953912886315,0.28191036245225465,0.35451505016722407,0.5903083700440526,0.16317016317016317,0.22680412371134026,0.18034871049763895,0.39562984593696504,0.604370154063035,P,Southwest_Texas_RAC_P,0.3501413749270153,0.45596566523605153,715,101,695,0.0019285136221430434,0.00024271910576171025,3.428619535934649e-05,0.00023592976014599808,0.013844314484564276,0.29213483146067415,0.2222222222222222,0.008635745846929287,0.541017728839805,0.0036752487635133813,3.909839110120619e-05,0.013803858081899902,0.1549078255429789,-2.9338568698359033,0.23063280200722128
7,Austin,30032,0.006292238774195451,0.006280938117445833,0.44585987261146476,0.5810681401228758,0.30171674933309,0.4452849287875764,0.46695034742324903,0.3834765357429479,0.8677010313492108,0.1322989686507885,Texas,117.0,0.0,0.002864621919296686,0.08345337647137815,0.0,48015.0,6.0,6/5S,1,0,0,1,0,0,0,0,0.007893360176309549,0.002952664891666534,0.004763525008506295,0.0006890481870505264,0.0022569444444444447,0.005461649720441249,0.7438909482601206,0.2687784948546523,0.1247618574143251,0.03162668909169396,0.026041410170887746,0.3197770197213029,0,0,0,0,0,0,1,0,0.2792427254653894,0.41034871259377315,0.17056856187290967,0.7466960352422907,0.3193473193473193,0.2371134020618557,0.08574117491661988,0.3389386768704058,0.6610613231295942,Q,Southeast_Texas_Trauma_RAC_Q,0.8238755348787052,0.5610300429184549,1243,70,915,0.001032355563290124,0.00018583895223310993,1.0465588621333625e-05,0.0001368001941217181,0.004758752758617131,0.6910112359550562,1.0,0.005287977417420061,0.2683308684146884,0.003895844432605221,0.0,0.015297023084315901,0.16255993606819394,0.0,0.0
8,Bailey,7000,0.0014124299823318003,0.0013868702315803663,0.2006369426751592,0.8175968652438425,0.3879919023312923,0.22798151571319036,0.21138939579802085,0.2088521691446799,0.8386895932340088,0.1613104067659914,Texas,111.0,1.0,0.0026917568034770583,0.35989996349564024,0.04504504504504505,48017.0,1.0,1,0,1,0,0,0,0,1,0,0.0018549106632197844,0.00015730540099591326,0.004623421331785522,0.0001794999478871119,0.0015625,0.0009390583511430607,0.850875118915585,0.05917465178548284,0.9347289920535133,0.03716750139563848,0.07734813925570228,0.23974997342123613,0,0,1,0,0,0,0,0,0.20518705946141333,0.2057514220549037,0.35785953177257523,0.4207048458149778,0.07925407925407923,0.2371134020618557,0.11554337417032658,0.717450407813916,0.28254959218608394,B,B_RAC_B,0.04229071555496319,0.20180257510729616,757,28,206,0.005296156392382881,0.0014739670547918532,5.451925698041201e-05,0.0004011059620701741,0.0017498883285249488,0.02247191011235955,0.09090909090909091,0.0017013971045434786,0.503415037887897,0.015857142857142858,0.00014285714285714287,0.002712263265198425,0.23185714285714284,-3.100092288878234,0.21223817998900446
9,Bandera,23112,0.004813547700077503,0.00482287072027097,0.8248407643312102,0.3295535064808981,0.10190621926017107,0.48564947265412495,0.8863013238438453,0.6690577055121221,0.872261184651894,0.12773881534810583,Texas,33.0,0.0,0.0007902405294611547,0.02641322701147881,0.0,48019.0,8.0,8,1,0,0,1,0,0,0,0,0.006609472825299505,0.0002710329544186343,0.0059644136661129235,0.0003734756980231845,0.0017361111111111112,0.003993696435895775,0.9250674559814611,0.029140634391599182,0.28268808867229417,0.020445633528438006,0.02602962264864409,0.3026151834030091,0,0,0,0,1,0,0,0,0.21378998734863544,0.31507790387733237,0.2775919732441472,0.8436123348017619,0.3892773892773892,0.16494845360824742,0.10959944523329922,0.0,0.9999999999999999,P,Southwest_Texas_RAC_P,0.3501413749270153,0.45596566523605153,715,101,695,0.0019285136221430434,0.00024271910576171025,3.428619535934649e-05,0.00023592976014599808,0.0031975634242380913,0.29213483146067415,0.2222222222222222,0.0032421189327199794,0.22024704503922438,0.0014278296988577363,0.0,0.009587667404519126,0.13079785392869506,0.0,0.0
